Gene	apo_rank	ABrank	ALrank
APOL3	621	NA	NA
CDSN	622	NA	NA
TM4SF14	623	NA	NA
DTX2	624	NA	NA
SLC2A4RG	625	NA	NA
ZNF410	626	NA	NA
PLEKHA6	627	NA	NA
MAGED1	628	NA	NA
DNAJC1	629	NA	NA
DEFB126	630	NA	NA
PSMB5	631	NA	NA
PPP1R10	632	NA	NA
ABCC2	633	NA	NA
SDC1	634	NA	NA
PIK3R4	635	NA	NA
PFDN1	636	NA	NA
KERA	637	NA	NA
CST6	638	NA	NA
CCDC6	639	NA	390
ITGA2	640	NA	NA
GAGEC1	641	NA	NA
MN1	642	NA	NA
SMAD1	643	NA	NA
ORC5L	644	NA	NA
AQP9	645	NA	NA
HARSL	646	NA	NA
SLC25A21	647	NA	NA
WIRE	648	NA	350
DEGS	649	NA	NA
ADAM15	650	NA	NA
FLJ12750	651	NA	NA
ZNF467	652	NA	NA
SPA17	653	NA	NA
RPS15	654	NA	NA
TM7SF1	655	NA	NA
MAP7	656	NA	NA
SYNGR2	657	NA	NA
ABCB4	658	NA	NA
CLU	659	362	194
LOC57146	660	NA	NA
PALMD	661	NA	NA
CIRBP	662	119	NA
TJP3	663	NA	NA
KCNV1	664	NA	NA
BDH	665	NA	NA
KIAA0247	666	NA	NA
ATP1A1	667	NA	NA
VPS52	668	NA	NA
CPB2	669	NA	NA
DDX26	670	NA	NA
PPARGC1A	671	NA	NA
CDR2	672	NA	NA
EGF	673	124	NA
ZNFN1A2	674	NA	NA
ARPC5L	675	NA	NA
SCGB1D2	676	NA	337
MIPEP	677	NA	NA
MBC2	678	NA	NA
RPA3	679	NA	NA
PEX13	680	NA	NA
PHGDH	681	NA	NA
BMP4	682	NA	NA
ARFRP2	683	NA	NA
APC2	684	NA	NA
SLC25A4	685	NA	NA
PHKB	686	64	272
ACVR2	687	NA	NA
CP	688	NA	NA
P2RY6	689	NA	NA
MGC39325	690	NA	NA
SLC2A8	691	NA	NA
GRPEL1	692	NA	NA
FLJ22390	693	NA	NA
PET112L	694	NA	NA
CASC3	695	NA	NA
CTNNBIP1	696	NA	NA
KIAA0040	697	NA	NA
CREB3L1	698	NA	NA
CASP6	699	NA	NA
ESRRA	700	NA	NA
CBR4	701	NA	NA
GK	702	NA	NA
NEO1	703	NA	NA
SURF1	704	NA	NA
FKBP3	705	NA	NA
NDUFB4	706	NA	NA
TMEM5	707	NA	NA
SCG2	708	NA	NA
GABRG2	709	NA	NA
PPP6C	710	NA	NA
SIX2	711	NA	NA
PACSIN2	712	NA	NA
PGRMC1	713	NA	80
ASS	714	NA	370
FLJ22457	715	NA	NA
DKFZP586B1621	716	NA	NA
PLN	717	NA	NA
PASK	718	NA	NA
USP9X	719	NA	NA
PKIA	720	NA	NA
EPO	721	NA	NA
CXCL6	722	NA	NA
SYBL1	723	NA	NA
STK23	724	NA	NA
CDC6	725	NA	NA
ARIH1	726	NA	NA
PTPN13	727	NA	NA
CHFR	728	NA	NA
GSTA4	729	NA	NA
RAI17	730	NA	NA
CGI-111	731	NA	NA
CRYBA4	732	NA	NA
CCRL2	733	NA	NA
IL12A	734	NA	NA
HCRTR2	735	NA	NA
FLJ21156	736	NA	NA
PP	737	NA	NA
SLC25A14	738	NA	NA
TSK	739	NA	NA
MRPS22	740	NA	NA
SEPX1	741	NA	NA
BZW1	742	NA	NA
CYP51A1	743	121	NA
ENTPD3	744	NA	NA
GCH1	745	NA	NA
CAMK2G	746	NA	NA
SLC22A4	747	NA	NA
MS4A2	748	NA	NA
ZFD25	749	NA	NA
CTBP2	750	NA	NA
TOMM70A	751	NA	NA
GSTM4	752	NA	NA
HIP1R	753	NA	NA
ALDH1A1	754	NA	NA
MAP3K6	755	NA	NA
GAGED2	756	NA	NA
MAGEC2	757	NA	NA
IPO13	758	NA	NA
BAZ1A	759	NA	NA
CYB561D2	760	NA	NA
CSNK1A1	761	NA	NA
TRAPPC4	762	NA	NA
KITLG	763	NA	NA
IRF2	764	NA	NA
COPB2	765	NA	NA
IMMT	766	NA	NA
VDAC1	767	NA	NA
WSB2	768	NA	NA
CRNKL1	769	NA	NA
DEPDC6	770	NA	NA
FLJ11078	771	NA	NA
NEDL1	772	NA	NA
UGT2B4	773	NA	NA
PHLDA3	774	NA	NA
TXN2	775	NA	NA
CYP1B1	776	NA	NA
RIPK4	777	NA	NA
PGDS	778	NA	NA
TIGD6	779	NA	NA
GCC2	780	NA	NA
CRY1	781	NA	NA
NOL4	782	NA	NA
DKFZP586H2123	783	NA	NA
ALG8	784	NA	NA
IK	785	NA	NA
SLC1A4	786	NA	NA
CHP	787	NA	NA
CD36	788	NA	NA
FLJ22555	789	NA	NA
LOR	790	NA	NA
RPL19	791	NA	NA
COX7B	792	NA	NA
SH3GL1	793	NA	NA
MRPS7	794	NA	NA
PAPSS2	795	103	5
STUB1	796	NA	NA
MAPK9	797	NA	NA
TRIM36	798	12	257
TAT	799	NA	NA
SDHD	800	NA	NA
PPL	801	NA	NA
SMYD3	802	NA	NA
DHRS7	803	NA	NA
BPGM	804	NA	NA
WDR44	805	NA	NA
AICDA	806	NA	NA
AP3S1	807	NA	NA
HMOX2	808	NA	NA
CSPG5	809	NA	NA
ETHE1	810	NA	NA
SLC9A2	811	NA	NA
PON3	812	NA	NA
TIPARP	813	NA	NA
DIP13B	814	NA	NA
SCD	815	9	139
NUMB	816	NA	NA
CHCHD2	817	NA	NA
HAL	818	NA	NA
HSD17B1	819	NA	NA
DNAJD1	820	NA	NA
TBX10	821	NA	NA
GORASP2	822	NA	NA
GPR126	823	NA	NA
SLC22A18	824	204	NA
BBS1	825	254	NA
UBL3	826	NA	NA
RABIF	827	NA	NA
FLJ13639	828	NA	NA
DNCI2	829	NA	NA
PDCD6	830	NA	NA
SDAD1	831	NA	NA
LHFP	832	NA	NA
FLJ10099	833	NA	NA
PSMD14	834	NA	NA
HSPC049	835	NA	NA
DNALI1	836	NA	96
MGAM	837	NA	NA
MAT2A	838	NA	NA
SOX2	839	NA	NA
ARG1	840	NA	NA
PSAT1	841	NA	NA
GDF15	842	NA	NA
FLJ23186	843	NA	188
NDUFB1	844	NA	NA
SLC9A3R2	845	NA	NA
NUDT4	846	NA	NA
TFCP2L3	847	NA	NA
SEC63	848	NA	NA
ATP6V0C	849	NA	NA
CHST1	850	213	279
SULT2B1	851	NA	NA
GOLGA5	852	NA	NA
P2RY2	853	278	NA
OXA1L	854	NA	NA
ATP2A1	855	NA	NA
LHX2	856	NA	NA
CD99	857	NA	NA
CLIC3	858	NA	55
RARS	859	NA	NA
RAB25	860	NA	NA
DNAJB2	861	NA	NA
CAPN2	862	NA	NA
ZAP128	863	NA	NA
CLTC	864	NA	NA
ASL	865	NA	NA
CNOT2	866	NA	NA
KCNH4	867	NA	NA
KLF4	868	NA	NA
NDUFB3	869	NA	NA
NXPH4	870	NA	NA
ABLIM1	871	NA	NA
FGF13	872	NA	NA
FLJ22833	873	NA	NA
DMXL1	874	NA	NA
GRP	875	NA	NA
SPOCK	876	NA	NA
CTNNA1	877	NA	NA
